"File","Function"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\publish_wilma_linkedin.py","_create_linkedin_image_post"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_generate_image_ai_horde"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_generate_text_ai_horde"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_add_logo"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_add_static_overlay"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_generate_reel"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_generate_caption"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_generate_carousel"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_sanitize_image_prompt"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_extract_hook_text"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_editor_fallback"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_get_available_horde_text_models"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_write_output_jpg"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_fallback_ai_verify_caption"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_read_schedule"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_read_state"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_write_state"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_save_pending"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_load_and_clear_pending"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_try_resume_pending_wilma"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_generate_wilma_visual_prompt"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_strip_bluesky_cta"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_enforce_wilma_persona"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","_wilma_carousel_slides"
"C:\Users\Huawei\Downloads\ig-autobot\forwilma\wilma_bot.py","main"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\compare_monthly_metrics.py","_chunked_dates"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\compare_monthly_metrics.py","fetch_monthly_totals"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\compare_monthly_metrics.py","load_history"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\compare_monthly_metrics.py","find_baseline"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\compare_monthly_metrics.py","compare"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\compare_monthly_metrics.py","clean"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\compare_monthly_metrics.py","pct"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_carousel_from_bundle.py","main"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_gallery_json.py","get_files"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","ensure_jinja2"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","split_beats"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","sanitize_identifier"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","read_state"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","choose_motion"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","resolve_audio_path"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","generate_composition"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","parse_args"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","main"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","_queue_candidate"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\generate_hyperframes_reel.py","_queue_candidate"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\prepare_assets.py","_bundle_consumed_for_platform"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\prepare_assets.py","_select_next_bundle_for_platform"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\prepare_assets.py","_platform_policy"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\prepare_assets.py","_apply_platform_tailoring"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\prepare_assets.py","_instagram_format_for_weekday"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\prepare_assets.py","prepare"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\prepare_assets.py","_normalize_paths"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_bluesky.py","publish_to_bluesky"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_facebook.py","publish_to_facebook"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_facebook.py","main"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_linkedin.py","refresh_linkedin_access_token"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_linkedin.py","_linkedin_headers"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_linkedin.py","upload_image_rest"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_linkedin.py","upload_images_batch"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_linkedin.py","publish_carousel_linkedin"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_linkedin.py","publish_to_linkedin_rest"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_pinterest.py","check_url_live"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_pinterest.py","get_fresh_access_token"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_pinterest.py","publish_to_pinterest"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_threads.py","check_url_live"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_threads.py","wait_for_threads_media"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_threads.py","create_threads_container"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_threads.py","publish_to_threads"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_youtube.py","get_youtube_service"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish_youtube.py","publish_to_youtube"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","_get_instagram_preferred_format"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","check_url_live"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","wait_for_media"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","publish_single"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","publish_story"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","publish_reel_with_name"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","publish_carousel"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","publish_container"
"C:\Users\Huawei\Downloads\ig-autobot\scripts\publish.py","main"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_bundle_reservation.py","test_detects_same_platform_consumption"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_bundle_reservation.py","test_prepare_assets_skips_already_consumed_bundle_for_same_platform"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_platform_tailoring.py","test_bluesky_tailoring_adds_linkedin_cta_and_limits_length"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_platform_tailoring.py","test_threads_tailoring_shortens_caption"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_platform_tailoring.py","test_youtube_tailoring_uses_short_caption"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_platform_tailoring.py","test_instagram_cadence_selects_expected_format_by_day"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_platform_tailoring.py","test_publish_uses_instagram_format_marker_when_present"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_prepare_assets_queue.py","test_selects_next_bundle_when_current_one_was_already_posted"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_prepare_assets_queue.py","test_queue_order_preserved_after_removing_first_candidate"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_verify_outputs.py","test_accepts_valid_assets"
"C:\Users\Huawei\Downloads\ig-autobot\tests\test_verify_outputs.py","test_rejects_missing_caption"
